python开发工程师(J11765),作业帮教育科技（北京）有限公司,北京-海淀区,2-4万/月,"工作职责:-负责班主任业务的数据平台和数据产品研发。-开发并实现优秀的数据流、数据架构、数据工具/产品，提供高可用的数据服务，发挥数据价值。-持续优化系统性能，攻克技术难题任职资格:-计算机或相关专业本科及以上学历，2年以上大数据开发经验,扎实的数据结构和算法功底。-编码能力强，熟练掌握数据结构和算法；-熟悉linux平台，熟悉至少一种脚本语言（Shell/Python/Scala）-熟悉大规模数据处理、分布式计算等相关技术，如Hadoop、Hive、Spark、MapReduce等，有较丰富的实践经验-思路清晰，具有良好的自学能力、良好的团队合作和沟通协作能力；职能类别：数据库工程师/管理员微信分享"
Python教学研发经理,北京八维研修学院,北京-海淀区,2-2.5万/月,任职要求：1，具有3年以上python相关开发经验，熟悉设计模式；2， 数据结构和算法基础扎实，熟悉C++ 等编程语言；3，深入了解Http协议 和 web登录认证机制，熟悉web前端，可读懂js代码；4，熟悉MySql、Oracle、Redis、MongoDB等数据库的开发与应用；熟悉Linux常用命令； 5，熟悉搜索引擎原理，了解大数据相关技术，有爬虫或大型分布式系统相关工作经验；6，掌握网页抓取原理及技术，了解基于Session的登录原理，熟悉基于正则表达式、XPath、CSS等网页信息抽取技术；7，了解多线程、多进程、网络通信编程相关知识，有过海量数据爬取经验、清洗项目经验；岗位职责：1、研究行业技术，为教学提供技术支持。2、做项目案例。3、研发相关配套的技术教学资料。4、做教学标准化相关工作。职能类别：互联网软件开发工程师关键字：python微信分享
11215N-Python开发工程师,平安科技（深圳）有限公司,北京-朝阳区,30-40万/年,"1、负责云数据库用户相关平台设计和开发工作；2、研发基础服务组件，解决实际需求，减少重复开发；3、对现有的平台进行整合升级，进行二次开发工作；任职资格：1、熟练使用Python语言，有实际PythonWeb项目经验，有数据库运维平台项目经验者优先；2、熟练掌握至少一门Pythonweb开发框架（Django、Flask、Tornado等）；3、熟悉自动化配置管理工具如saltstack、Ansible；4、熟悉MySQL/PostgreSQL/Redis/MongoDB；5、熟悉Linix/Unix操作系统，熟练shell编程；6、熟悉JavaScript,jQuery,HTML,CSS等前端技术，有react、vue开发经验者优先；7、具备较强的学习能力和责任心，良好的沟通能力、文档编写能力，有github开源项目者优先。8、喜欢钻研开源技术及自动化技术，具有较强的分析、解决应用问题的能力；职能类别：高级软件工程师微信分享"
高德-Python后端开发专家,阿里巴巴集团,北京,[],1.负责汽车事业部研发工具及业务信息管理平台建设，提升业务自动化、信息化程度，助力各业务团队降本提效；2.面向车厂客户的在线服务端应用项目交付及维护，保障服务性能和高可靠性；3.?根据业务规划及团队目标，规划及实施后端技术架构的优化及改进，提升软件复用性、扩展性、维护性，实现高效高质量开发；1.全日制统招本科及以上学历，2.5年以上Web后端开发经验，编程基本功扎实，精通Python及主流开发框架。熟练掌握常用数据结构和算法，MySQL数据库及主流NoSQL数据库。熟悉异步框架、集群与负载均衡、消息中间件、容灾备份等技术；3.具有研发效能工具或企业应用系统（如ERP/CRM/BPMS）的架构与开发经验；4.具备优秀的需求理解及业务抽象能力，可以将复杂业务需求进行合理地领域划分，并正确建立软件模型；5.有较好的沟通交流及跨团队协作能力，善于主动思考和行动，承压能力强；加分项：1.掌握其他后端开发技术栈（Java/Go?/NodeJS/PHP等），或具备前端开发经验??;2.熟悉云平台，熟悉K8S/docker等云原生组件；3.具备一定的团队管理经验；职能类别：互联网软件开发工程师微信分享
Senior Retail System Engineer(Python),绫致时装（天津）有限公司,北京-朝阳区,1.5-2万/月,工作职责：基于用户需求负责应用程序框架设计和开发、维护及系统运维制定并推进团队的编码规范，编写高质量、结构清晰、易读、易维护的代码协助UAT验收负责应用系统的高可用性能力要求：目标驱动和自我驱动精通Python，5年以上专职开发经验，熟悉基于Python代码的性能分析和优化有基于关系型数据库开发大型应用的经验；有基于PostgreSQL开发经验者优先具备优秀的编程习惯，具备较强的研发与设计能力较好的逻辑思维能力和沟通能力，热爱技术，能独立解决问题思路清晰，具备良好的沟通、理解和学习能力能承受工作压力职能类别：系统工程师微信分享
python爬虫工程师,北京泛博瑞咨询有限公司,北京-朝阳区,0.6-1万/月,1.负责多平台信息爬取和页面内容的提取分析;2.负责爬虫系统的架构设计和研发，独立进行抓取和清洗工作;3.负责大规模数据爬虫的性能优化工作;4.负责HTTP、AJAX等各类网络请求分析，探索和研究高效的数据抓取解决方案5.不断完善和重构现有爬虫系统，通过对抓取、解析、调度、存储等模块的拆分与优化，构建和完善统一的抓取服务平台。6.有较强的技术分析调查能力，本科及以上学历，软件开发、计算机等相关专业7.精通以python3.熟悉SQLServer数据库开发，有较好的数据库编程能力。8.负责自动生成程序编写工具优化、改善现有流程，减少人工操作部分，提高工作效率。9.必须有项目制作经验，需要带展示报告成果。10.具备良好的沟通和执行力，学习能力强、有良好的团队协作精神。11.具备足够的责任心和质量意识，能积极对新技术、难点技术进行学习和研究。12.如有AI技术解决实际业务问题方面的经验，优先录取职能类别：互联网软件开发工程师微信分享
Python高级开发工程师,中软国际科技服务有限公司,北京-西城区,1-1.5万/月,1、熟练使用Python语言，了解python主流模块2、熟悉深度学习方法原理，熟练掌握至少一种深度学习框架，如Caffe、TensorFlow、Keras、PyTorch等。3、拥有一年以上深度学习实际项目经验，对环境搭建、网络结构设计、训练、大规模数据处理有丰富的实践经验。4、对视频格式，视频传输有一定了解者优先 5、有网页前端编程经验者优先职能类别：软件工程师关键字：视频传输微信分享
资深Python工程师,北京红铅笔广告有限公司,北京,1.8-3.6万/月,1、负责人工智能产品相关的基础架构设计和研发工作;2、负责根据产品和项目计划按时完成功能模块的架构设计、编码、测试的全流程工作;3、负责提供高并发的数据请求分析的处理能力；4、负责持续优化系统架构，提高系统的容灾容错能力，保证系统的可运维、高可用性、高可靠性。任职要求:1、计算机相关专业，大学本科及以上学历，两年以上开发经验，熟悉后端开发相关技术；2、具备全面的软件知识结构，基础扎实，精通常用数据结构与算法，算法设计与实现功底扎实，有较强的架构设计和逻辑思维能力；3、熟练使用Python语言，熟悉使用常用模块，完成过基于Python的大型项目；4、熟悉Tornado、Django或Flask三种框架之一；5、熟悉主流数据库和缓存系统，如MySQL、Redis、MongoDB等；6、熟悉Nginx部署，有独立部署经验；7、熟悉Linux基本操作，了解Shell脚本，有Linux下的多线程编程和性能调优经验，熟悉后端同步互斥的控制；8、具备良好的沟通能力和团队协作能力，工作态度严谨。加分项:1、熟悉机器学习、大数据技术者优先；2、对人工智能行业兴趣浓厚者优先。职能类别：高级软件工程师微信分享
Python高级开发工程师,成都堆氧文化传播有限公司,北京,3.5-6.5万/月,"1、精通python,熟练掌握Django,Tornado，Sqlalchemy，Celery等主流Python框架或NodeJS相关框架；熟练掌握MySQL数据库，具备MySQL索引优化、查询优化的能力；2、学历要求：须统招本科以上学历，985,211优先考虑；职能类别：高级软件工程师自然语言处理（NLP）关键字：pythonSQL微信分享"
python开发工程师,北京捷通华声科技股份有限公司,北京,1.5-2.5万/月,职位描述：1.负责Python相关软件、后台服务程序及接口开发2.建立和完善开发文档；3.协助对所开发的功能进行测试，协助产品部署。任职资格：1.毕业于211或985院校、统招本科及以上学历，或有海外留学经历；2.3年以上Python开发经验，熟练掌握Python的使用；3.具有实际项目开发经验，承担过核心开发任务；4.了解并掌握Django、web.py、Tornado中至少一种Web开发框架；5.熟悉Mysql、Mongodb数据库，了解redis，熟悉linux平台开发。6.具有规范的编程习惯与文档编写能力，积极配合公司各项规范化建设工作；7.具备较好的学习能力、问题分析能力，可以独立调试解决问题；8.良好的沟通协调能力和团队合作意识，能够主动总结和分享自己的开发经验。9.同时具有java开发，hadoop，hbase经验者优先。职能类别：高级软件工程师微信分享
